iter	Passed	Remaining
0	413	206095
1	821	204430
2	1233	204302
3	1619	200813
4	2024	200413
5	2399	197567
6	2817	198454
7	3260	200532
8	3692	201455
9	4132	202495
10	4553	202444
11	4973	202272
12	5332	199749
13	5782	200735
14	6151	198893
15	6508	196887
16	6899	196039
17	7367	197281
18	7839	198456
19	8214	197142
20	8580	195710
21	8947	194410
22	9338	193665
23	9699	192374
24	10079	191509
25	10465	190797
26	10876	190532
27	11269	189975
28	11673	189595
29	12038	188609
30	12436	188145
31	12809	187342
32	13208	186918
33	13615	186610
34	14023	186316
35	14438	186090
36	14815	185390
37	15276	185730
38	15716	185777
39	16230	186652
40	16646	186359
41	17075	186201
42	17490	185886
43	17839	184877
44	18244	184467
45	18646	184030
46	19058	183691
47	19449	183153
48	19843	182641
49	20281	182535
50	20854	183598
51	21337	183832
52	21760	183529
53	22210	183445
54	22657	183317
55	23102	183170
56	23523	182825
57	23962	182614
58	24415	182496
59	24844	182196
60	25297	182056
61	25785	182165
62	26239	182009
63	26703	181914
64	27174	181859
65	27559	181222
66	28009	181017
67	28458	180792
68	28909	180576
69	29345	180268
70	29726	179616
71	30106	178965
72	30479	178285
73	30864	177679
74	31226	176948
75	31639	176515
76	32013	175864
77	32428	175448
78	32780	174691
79	33152	174051
80	33549	173545
81	33905	172832
82	34286	172258
83	34644	171572
84	35026	171011
85	35428	170549
86	35907	170456
87	36291	169907
88	36700	169483
89	37084	168939
90	37484	168472
91	37888	168027
92	38308	167652
93	38744	167344
94	39155	166927
95	39554	166458
96	39933	165911
97	40345	165497
98	40722	164945
99	41076	164305
100	41465	163807
101	41853	163311
102	42210	162696
103	42667	162463
104	43039	161910
105	43425	161413
106	43817	160936
107	44179	160354
108	44568	159872
109	44947	159360
110	45324	158839
111	45703	158328
112	46136	158008
113	46504	157463
114	46867	156904
115	47216	156302
116	47616	155872
117	47977	155316
118	48362	154841
119	48757	154399
120	49172	154018
121	49554	153537
122	49938	153062
123	50340	152646
124	50704	152112
125	51098	151674
126	51499	151253
127	51877	150768
128	52267	150320
129	52647	149843
130	53022	149352
131	53396	148863
132	53744	148303
133	54091	147741
134	54461	147248
135	54820	146726
136	55175	146195
137	55591	145827
138	55931	145260
139	56337	144867
140	56693	144346
141	57036	143795
142	57448	143421
143	57860	143043
144	58204	142501
145	58580	142038
146	58951	141564
147	59333	141116
148	59710	140659
149	60064	140151
150	60465	139751
151	60821	139248
152	61180	138756
153	61536	138258
154	61918	137819
155	62282	137340
156	62703	136990
157	63092	136567
158	63420	136015
159	63826	135631
160	64225	135233
161	64567	134714
162	64936	134255
163	65306	133799
164	65797	133589
165	66180	133158
166	66696	132993
167	67088	132579
168	67456	132118
169	67851	131710
170	68232	131276
171	68675	130963
172	69055	130526
173	69423	130068
174	69783	129598
175	70158	129156
176	70562	128766
177	70957	128360
178	71313	127886
179	71702	127470
180	72102	127075
181	72521	126713
182	72956	126378
183	73335	125944
184	73747	125569
185	74156	125188
186	74566	124808
187	74989	124450
188	75382	124041
189	75827	123718
190	76209	123291
191	76543	122789
192	76993	122471
193	77418	122114
194	77821	121721
195	78218	121318
196	78660	120985
197	79071	120603
198	79485	120226
199	79933	119899
200	80279	119421
201	80648	118976
202	81023	118542
203	81413	118129
204	81821	117742
205	82217	117339
206	82596	116912
207	82967	116473
208	83350	116052
209	83707	115596
210	84082	115165
211	84445	114717
212	84828	114299
213	85206	113873
214	85598	113467
215	86012	113090
216	86399	112677
217	86751	112219
218	87205	111893
219	87666	111575
220	88164	111303
221	88624	110980
222	89042	110604
223	89491	110265
224	89943	109931
225	90416	109619
226	90870	109284
227	91251	108861
228	91697	108515
229	92098	108115
230	92536	107759
231	92986	107415
232	93484	107126
233	93935	106781
234	94340	106384
235	94701	105937
236	95082	105513
237	95483	105112
238	95923	104753
239	96289	104313
240	96662	103882
241	97036	103452
242	97406	103018
243	97815	102626
244	98185	102192
245	98593	101799
246	98985	101389
247	99395	100998
248	99769	100570
249	100134	100134
250	100489	99688
251	100879	99278
252	101241	98840
253	101632	98431
254	102026	98025
255	102376	97577
256	102748	97150
257	103100	96706
258	103520	96326
259	103938	95943
260	104324	95530
261	104699	95109
262	105079	94691
263	105419	94238
264	105883	93896
265	106279	93494
266	106669	93086
267	107047	92667
268	107396	92225
269	107837	91861
270	108237	91462
271	108686	91104
272	109082	90702
273	109463	90287
274	109857	89883
275	110261	89487
276	110602	89041
277	110984	88628
278	111395	88237
279	111784	87831
280	112183	87431
281	112576	87027
282	112934	86596
283	113313	86182
284	113682	85760
285	114044	85333
286	114454	84943
287	114838	84533
288	115204	84111
289	115589	83702
290	115996	83310
291	116378	82899
292	116786	82507
293	117157	82089
294	117531	81674
295	117944	81285
296	118357	80897
297	118772	80510
298	119174	80114
299	119540	79693
300	119899	79269
301	120250	78839
302	120658	78448
303	121102	78078
304	121520	77693
305	121873	77266
306	122215	76832
307	122594	76422
308	122978	76016
309	123379	75619
310	123758	75209
311	124162	74815
312	124552	74413
313	124937	74007
314	125356	73621
315	125786	73242
316	126158	72829
317	126506	72403
318	126922	72015
319	127363	71642
320	127750	71237
321	128127	70828
322	128566	70452
323	128987	70067
324	129381	69666
325	129783	69271
326	130175	68869
327	130512	68439
328	130898	68035
329	131282	67630
330	131667	67225
331	132071	66831
332	132411	66404
333	132772	65988
334	133134	65573
335	133486	65153
336	133879	64754
337	134295	64366
338	134677	63961
339	135048	63552
340	135413	63139
341	135802	62739
342	136189	62337
343	136507	61904
344	136867	61491
345	137210	61070
346	137606	60673
347	137966	60261
348	138310	59842
349	138720	59451
350	139090	59044
351	139417	58618
352	139776	58207
353	140193	57819
354	140546	57406
355	140926	57004
356	141264	56584
357	141655	56187
358	142028	55782
359	142383	55371
360	142760	54968
361	143117	54558
362	143475	54148
363	143850	53746
364	144257	53355
365	144621	52948
366	145013	52552
367	145402	52155
368	145815	51766
369	146188	51363
370	146557	50959
371	146932	50557
372	147313	50157
373	147661	49746
374	148043	49347
375	148430	48950
376	148867	48569
377	149266	48175
378	149672	47784
379	150037	47380
380	150395	46973
381	150736	46562
382	151112	46162
383	151497	45764
384	151863	45361
385	152223	44957
386	152612	44561
387	152995	44163
388	153366	43762
389	153724	43358
390	154094	42957
391	154502	42566
392	154982	42196
393	155431	41816
394	155893	41440
395	156318	41053
396	156729	40662
397	157125	40268
398	157529	39875
399	157947	39486
400	158378	39100
401	158811	38715
402	159268	38335
403	159678	37943
404	160115	37557
405	160567	37175
406	160961	36779
407	161329	36378
408	161687	35974
409	162061	35574
410	162449	35177
411	162842	34781
412	163207	34380
413	163594	33983
414	163947	33579
415	164307	33177
416	164685	32779
417	165090	32386
418	165483	31990
419	165943	31608
420	166309	31207
421	166680	30808
422	167073	30412
423	167466	30017
424	167849	29620
425	168219	29221
426	168660	28834
427	169073	28442
428	169477	28048
429	169880	27654
430	170248	27255
431	170647	26861
432	171012	26461
433	171389	26063
434	171761	25665
435	172148	25269
436	172556	24876
437	172938	24479
438	173287	24078
439	173665	23681
440	174064	23287
441	174443	22890
442	174805	22491
443	175195	22096
444	175546	21696
445	176006	21310
446	176378	20912
447	176741	20514
448	177113	20117
449	177497	19721
450	177909	19329
451	178261	18930
452	178710	18541
453	179101	18146
454	179477	17750
455	179890	17357
456	180300	16964
457	180696	16570
458	181079	16174
459	181459	15779
460	181861	15385
461	182266	14991
462	182662	14597
463	183050	14202
464	183449	13808
465	183808	13410
466	184183	13015
467	184583	12621
468	184953	12225
469	185349	11830
470	185765	11437
471	186155	11043
472	186547	10648
473	186933	10253
474	187374	9861
475	187736	9465
476	188067	9068
477	188464	8674
478	188913	8282
479	189271	7886
480	189658	7491
481	190111	7099
482	190544	6706
483	190957	6312
484	191385	5919
485	191813	5525
486	192305	5133
487	192784	4740
488	193270	4347
489	193705	3953
490	194094	3557
491	194460	3161
492	194863	2766
493	195224	2371
494	195614	1975
495	196014	1580
496	196361	1185
497	196758	790
498	197167	395
499	197558	0
